rootname,targetname,target_name_hlsp,from where?,comments
lehg4crdq,AV251,AV-251,tech team spreadsheet,Shutter closed
lehg4crgq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4criq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crlq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crqq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crvq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4crzq,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehg4cs2q,AV251,AV-251,tech team spreadsheet,"TA looks OK, but fluxes are only 10% of expected, which suggests uncentered or wrong target"
lehgdcctq,AV251,AV-251,tech team spreadsheet,Shutter closed
lehgdccwq,AV251,AV-251,tech team spreadsheet,Shutter closed
oejv2s020,AV264,AV-264,tech team spreadsheet,acq failed; no stellar signal
oejv2s030,AV264,AV-264,tech team spreadsheet,acq failed; spectrum present but possible velocity offset
B0900701000,AV287,AV-287,Failed FUSE data check,failed observation
lemu2cf2q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cf4q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cf6q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cf8q,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfaq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfcq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfeq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemu2cfgq,AV314,AV-314,tech team spreadsheet,The NUV exposured failed due to HST safing: repeat of NUV exposures scheduled under HOPR-92123
lemubcelq,AV314,AV-314,tech team spreadsheet,"Exception report issued, but data are OK"
le4x02awq,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02ayq,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b0q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b2q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b4q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le4x02b6q,AV435,AV-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
leuw1ckqq,BI189,BI-189,tech team spreadsheet,Shutter closed
leuw1cktq,BI189,BI-189,tech team spreadsheet,Shutter closed
leuw1ckwq,BI189,BI-189,tech team spreadsheet,Shutter closed
leuw1ckyq,BI189,BI-189,tech team spreadsheet,Shutter closed
od7m07010,BI265,BI-265,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
od7m07020,BI265,BI-265,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
od7m07030,BI265,BI-265,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
lf2f1cf8q,BI265,BI-265,tech team spreadsheet,TA failed; source off-center; flux and wavelength calibration bad
lf2f1cfbq,BI265,BI-265,tech team spreadsheet,TA failed; source off-center; flux and wavelength calibration bad
lf2f1cfeq,BI265,BI-265,tech team spreadsheet,TA failed; source off-center; flux and wavelength calibration bad
lf2f1cfhq,BI265,BI-265,tech team spreadsheet,TA failed; source off-center; flux and wavelength calibration bad
o59z01040,CCDFLAT,CCDFLAT,stis tts tickets,Fringe flats associated with slitless aperture (V-CW-TAU)
o59z06040,CCDFLAT,CCDFLAT,stis tts tickets,Fringe flats associated with slitless aperture (V-CW-TAU)
lbz403010,V-ET-CHA,ECHA-J0843M7915,commented low_mass_stars_archive_CJK_JRD_COS,
lbz403020,V-ET-CHA,ECHA-J0843M7915,commented low_mass_stars_archive_CJK_JRD_COS,
lbz403030,V-ET-CHA,ECHA-J0843M7915,commented low_mass_stars_archive_CJK_JRD_COS,
lbz403040,V-ET-CHA,ECHA-J0843M7915,commented low_mass_stars_archive_CJK_JRD_COS,
lbz403050,V-ET-CHA,ECHA-J0843M7915,commented low_mass_stars_archive_CJK_JRD_COS,
leir1cxpq,ECHA-J0844.2-7833,ECHA-J0844M7833,tech team spreadsheet,Failed: repeat scheduled under HOPR 91993
leir1cy7q,ECHA-J0844.2-7833,ECHA-J0844M7833,tech team spreadsheet,Failed: repeat scheduled under HOPR 91993
leir1cyfq,ECHA-J0844.2-7833,ECHA-J0844M7833,tech team spreadsheet,Failed: repeat scheduled under HOPR 91993
leir1cyiq,ECHA-J0844.2-7833,ECHA-J0844M7833,tech team spreadsheet,Failed: repeat scheduled under HOPR 91993
leir1cylq,ECHA-J0844.2-7833,ECHA-J0844M7833,tech team spreadsheet,Failed: repeat scheduled under HOPR 91993
leir1cynq,ECHA-J0844.2-7833,ECHA-J0844M7833,tech team spreadsheet,Failed: repeat scheduled under HOPR 91993
ob6ba3010,EM-LKCA-15,EM-LKCA-15,stis tts tickets,Failed ACQ
oc2h05010,HD-139614,HD-139614,stis tts tickets,not a complete set with FUV
obi801020,HD-163296,HD-163296,stis tts tickets,"taken with aperture 52X0.2F1, which places the target behind"
obi801010,HD-163296,HD-163296,stis tts tickets,"taken with aperture 52X0.2F1, which places the target behind"
o55q01070,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
o55q02070,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
o55q03070,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
o55q04070,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
o55q05070,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
o55q06070,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
ob2na1010,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
ob2na1020,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
ocax01010,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
ocax01020,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
od3g01010,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
od3g01020,AV229,HD-5980,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
le9r1cwkq,HV5622,HV-5622,tech team spreadsheet,Orbit 2 failed
le9r1cwnq,HV5622,HV-5622,tech team spreadsheet,Orbit 2 failed
le9r1cwtq,HV5622,HV-5622,tech team spreadsheet,Orbit 2 failed
le9r1cwwq,HV5622,HV-5622,tech team spreadsheet,Orbit 2 failed
lehdacuuq,LMCE055-1,LMCE055-1,tech team spreadsheet,acq failed
lehdacuzq,LMCE055-1,LMCE055-1,tech team spreadsheet,
lehdacv3q,LMCE055-1,LMCE055-1,tech team spreadsheet,
lehdacvcq,LMCE055-1,LMCE055-1,tech team spreadsheet,
lehdacvhq,LMCE055-1,LMCE055-1,tech team spreadsheet,
lehdacvnq,LMCE055-1,LMCE055-1,tech team spreadsheet,
lf2l1dafq,N11-ELS-026,N11-ELS-026,tech team spreadsheet,Decided not to file a HOPR
lf2l1dahq,N11-ELS-026,N11-ELS-026,tech team spreadsheet,Decided not to file a HOPR
lf2l1dajq,N11-ELS-026,N11-ELS-026,tech team spreadsheet,Decided not to file a HOPR
lf2l1dalq,N11-ELS-026,N11-ELS-026,tech team spreadsheet,Decided not to file a HOPR
leuw2cayq,N11-ELS-032,N11-ELS-032,tech team spreadsheet,Shutter closed
leuw2cb2q,N11-ELS-032,N11-ELS-032,tech team spreadsheet,Shutter closed
le8p2cxlq,NGC346-ELS-28,NGC346-ELS-028,tech team spreadsheet,failed acq; flux levels don't match
le8p2cxuq,NGC346-ELS-28,NGC346-ELS-028,tech team spreadsheet,failed acq; flux levels don't match
leig4ch1q,NGC346-ELS-46,NGC346-ELS-046,tech team spreadsheet,
leig4chfq,NGC346-ELS-46,NGC346-ELS-046,tech team spreadsheet,
leig4chvq,NGC346-ELS-46,NGC346-ELS-046,tech team spreadsheet,
le8p3cuuq,NGC346-ELS-50,NGC346-ELS-050,tech team spreadsheet,failed acq; flux levels don't match
le8p3cv5q,NGC346-ELS-50,NGC346-ELS-050,tech team spreadsheet,failed acq; flux levels don't match
le8p3cvfq,NGC346-ELS-50,NGC346-ELS-050,tech team spreadsheet,failed acq; flux levels don't match
le8p3cvpq,NGC346-ELS-50,NGC346-ELS-050,tech team spreadsheet,failed acq; flux levels don't match
o4wra2010,NGC346-MPG-435,NGC346-MPG-435,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
oe9s2s010,LH9-34,PGMW-1363,tech team spreadsheet,acq failed
B0100301000,PGMW 3120,PGMW-3120,Failed FUSE data check,multiple stars in the aperture
lepk1cyhq,RXJ0438.6+1546,RX-J0438P1546,tech team spreadsheet,"Failed ACQ, S/N very low"
lepk1cyoq,RXJ0438.6+1546,RX-J0438P1546,tech team spreadsheet,"Failed ACQ, S/N very low"
lepk1czgq,RXJ0438.6+1546,RX-J0438P1546,tech team spreadsheet,"Failed ACQ, S/N very low"
lepk1czjq,RXJ0438.6+1546,RX-J0438P1546,tech team spreadsheet,"Failed ACQ, S/N very low"
oepkas020,RXJ0438.6+1546,RX-J0438P1546,tech team spreadsheet,"Failed ACQ, flux levels low. May be able to use 1S data instead"
oepkas030,RXJ0438.6+1546,RX-J0438P1546,tech team spreadsheet,"Failed ACQ, flux levels low. May be able to use 1S data instead"
letn3cbgq,SK187,SK-187,tech team spreadsheet,
letn3cbiq,SK187,SK-187,tech team spreadsheet,
letn3cbkq,SK187,SK-187,tech team spreadsheet,
letj1chtq,SK-66D17,SK-66D17,tech team spreadsheet,Shutter closed
letj1ci2q,SK-66D17,SK-66D17,tech team spreadsheet,Shutter closed
letj1ci4q,SK-66D17,SK-66D17,tech team spreadsheet,Shutter closed
letj1ci6q,SK-66D17,SK-66D17,tech team spreadsheet,Shutter closed
lekh1czjq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1czlq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1cznq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1czpq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1czrq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1cztq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1czvq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1czxq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1czzq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1ca2q,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1ca4q,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1ca6q,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1ca8q,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lekh1caaq,SK-66D50,SK-66D50,tech team spreadsheet,Acq failed; S/N too low
lbp504tlq,SK-68D129,SK-68D129,in ARCHIVAL_DATA_HIGH_MASS/DR4/ULLYSES_AR_EXTRA_DATA/ and not in all_vetted_data_dr4,
lef13cfxq,SK-69D140,SK-69D140,tech team spreadsheet,GS not aquired; ACQ failed; shutter didn't open
lef13cgnq,SK-69D140,SK-69D140,tech team spreadsheet,GS not aquired; ACQ failed; shutter didn't open
lef13cgpq,SK-69D140,SK-69D140,tech team spreadsheet,GS not aquired; ACQ failed; shutter didn't open
lef13cgsq,SK-69D140,SK-69D140,tech team spreadsheet,GS not aquired; ACQ failed; shutter didn't open
lef13cguq,SK-69D140,SK-69D140,tech team spreadsheet,GS not aquired; ACQ failed; shutter didn't open
lef13cgwq,SK-69D140,SK-69D140,tech team spreadsheet,GS not aquired; ACQ failed; shutter didn't open
letj3cioq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letj3cj9q,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letj3cjbq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letj3cjmq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letj3cjoq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letj3cjrq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letjccxvq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letjccxxq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letjccy0q,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letjccy2q,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letjccy4q,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
letjccyeq,SK-69D178,SK-69D178,tech team spreadsheet,Shutter did not open
od7m06010,SK-69D212,SK-69D212,in ARCHIVAL_DATA_HIGH_MASS/DR2/ULLYSES_AR_DATA/ and not in all_vetted_data_dr2,
Z9050701000,SK-69D220,SK-69D220,Failed FUSE data check,multiple stars in the aperture
oejf5s010,SK-70D32,SK-70D32,tech team spreadsheet,"GS acq failure, TA failure, observations failure. Repeated as ES under HOPR-92162"
oejf5s020,SK-70D32,SK-70D32,tech team spreadsheet,"GS acq failure, TA failure, observations failure. Repeated as ES under HOPR-92162"
oejf5s030,SK-70D32,SK-70D32,tech team spreadsheet,"GS acq failure, TA failure, observations failure. Repeated as ES under HOPR-92162"
oehids010,SK-70D60,SK-70D60,tech team spreadsheet,single guide star -- drifting; visit IS pending
oehids020,SK-70D60,SK-70D60,tech team spreadsheet,single guide star -- drifting; visit IS pending
oehi4t010,SK-70D60,SK-70D60,tech team spreadsheet,single guide star -- drifting; visit DT pending
oehi4t020,SK-70D60,SK-70D60,tech team spreadsheet,single guide star -- drifting; visit DT pending
leiq1crjq,SSTC2DJ160000.6-422158,SSTC2D-J160000M422158,tech team spreadsheet,"COS visit 1C had GS-acq fail alert, 1D did not. ACQ of offset target looks good for both visits. FUV data from both visits look similar and have little/no signal from target at fiducial wavelengths. Observations do not appear to have any obvious techinal problem"
leiq1crpq,SSTC2DJ160000.6-422158,SSTC2D-J160000M422158,tech team spreadsheet,"COS visit 1C had GS-acq fail alert, 1D did not. ACQ of offset target looks good for both visits. FUV data from both visits look similar and have little/no signal from target at fiducial wavelengths. Observations do not appear to have any obvious techinal problem"
let51cnoq,SSTC2DJ161243.8-381503,SSTC2D-J161243M381503,tech team spreadsheet,"Exception report for 1C, TA OK, exposure FAILED, check G160M x1Dsum for this visit"
let51frmq,SSTC2DJ161243.8-381503,SSTC2D-J161243M381503,tech team spreadsheet,"Exception report for visit 1F, TA FAILED, exposure FAILED"
let51fs0q,SSTC2DJ161243.8-381503,SSTC2D-J161243M381503,tech team spreadsheet,"Exception report for visit 1F, TA FAILED, exposure FAILED"
let61daoq,SZ100,SZ-100,tech team spreadsheet,"Failed TA, 2/3 exposures shuttered - no good - to be repeated under HOPR 92246"
let61dbnq,SZ100,SZ-100,tech team spreadsheet,"Failed TA, 2/3 exposures shuttered - no good - to be repeated under HOPR 92246"
let61dbrq,SZ100,SZ-100,tech team spreadsheet,"Failed TA, 2/3 exposures shuttered - no good - to be repeated under HOPR 92246"
let61cd0q,SZ100,SZ-100,tech team spreadsheet,"Failed TA, 2/3 exposures shuttered - no good - to be repeated under HOPR 92246"
let61cd2q,SZ100,SZ-100,tech team spreadsheet,"Failed TA, 2/3 exposures shuttered - no good - to be repeated under HOPR 92246"
let61cd4q,SZ100,SZ-100,tech team spreadsheet,"Failed TA, 2/3 exposures shuttered - no good - to be repeated under HOPR 92246"
lb6b19010,SZ-102,SZ-102,commented low_mass_stars_archive_CJK_JRD_COS,
lb6b19020,SZ-102,SZ-102,commented low_mass_stars_archive_CJK_JRD_COS,
lb6b19030,SZ-102,SZ-102,commented low_mass_stars_archive_CJK_JRD_COS,
lb6b19040,SZ-102,SZ-102,commented low_mass_stars_archive_CJK_JRD_COS,
lb6b19050,SZ-102,SZ-102,commented low_mass_stars_archive_CJK_JRD_COS,
lb6b19060,SZ-102,SZ-102,commented low_mass_stars_archive_CJK_JRD_COS,
o6md07020,THA15-28,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
o6md07010,THA15-28,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke56020,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
oczb01biq,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke01010,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02010,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02040,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02070,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke56010,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke56030,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02020,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02050,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02080,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02030,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02060,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
odke02090,V-V1190-SCO,SZ-102,commented low_mass_stars_archive_CJK_JRD_STIS,
let62ce1q,SZ104,SZ-104,tech team spreadsheet,Failed TA - exposure shuttered
oesr1s020,SZ114,SZ-114,tech team spreadsheet,repeated in AS
oesr1s030,SZ114,SZ-114,tech team spreadsheet,repeated in AS
lesr1cths,SZ114,SZ-114,tech team spreadsheet,repeated in AC
lesr1ctjq,SZ114,SZ-114,tech team spreadsheet,repeated in AC
lesr1ctlq,SZ114,SZ-114,tech team spreadsheet,repeated in AD
lesr1ctnq,SZ114,SZ-114,tech team spreadsheet,repeated in AD
lesr1ctpq,SZ114,SZ-114,tech team spreadsheet,repeated in AD
lesr1ctrq,SZ114,SZ-114,tech team spreadsheet,repeated in AD
lesr1cttq,SZ114,SZ-114,tech team spreadsheet,repeated in AD
oesras020,SZ114,SZ-114,tech team spreadsheet,
oesras030,SZ114,SZ-114,tech team spreadsheet,
oesr2t040,SZ115,SZ-115,tech team spreadsheet,"TA failed, only 1.5s exptime, G230L and G140L from 2T were shuttered"
oesr2t050,SZ115,SZ-115,tech team spreadsheet,"TA failed, only 1.5s exptime, G230L and G140L from 2T were shuttered"
lesp1gagq,SZ129,SZ-129,tech team spreadsheet,Bad TA - no counts acquired
leiqdcm9q,SZ130,SZ-130,tech team spreadsheet,"COS visit had a GS-acq failure alert. ACQ looks okay. Target very faint in G130M (30% of planned SNR). 3 out of 4 G160M exposures failed, the surviving exposure shows CIV (SNR ~ 4.5). HOPR 92054 filed. Calibration check could be useful - JIRA issue: ULLYSES-1350"
leiqdcmbq,SZ130,SZ-130,tech team spreadsheet,"COS visit had a GS-acq failure alert. ACQ looks okay. Target very faint in G130M (30% of planned SNR). 3 out of 4 G160M exposures failed, the surviving exposure shows CIV (SNR ~ 4.5). HOPR 92054 filed. Calibration check could be useful - JIRA issue: ULLYSES-1350"
leiqdcmdq,SZ130,SZ-130,tech team spreadsheet,"COS visit had a GS-acq failure alert. ACQ looks okay. Target very faint in G130M (30% of planned SNR). 3 out of 4 G160M exposures failed, the surviving exposure shows CIV (SNR ~ 4.5). HOPR 92054 filed. Calibration check could be useful - JIRA issue: ULLYSES-1350"
leim1caoq,SZ66,SZ-66,tech team spreadsheet,GS ACQ failed; TA failed; no signal from star. Repeat scheduled under HOPR 92021. Data could be useful after calibration check - JIRA issue: ULLYSES-1360
leim1caqq,SZ66,SZ-66,tech team spreadsheet,GS ACQ failed; TA failed; no signal from star. Repeat scheduled under HOPR 92021
leim1casq,SZ66,SZ-66,tech team spreadsheet,GS ACQ failed; TA failed; no signal from star. Repeat scheduled under HOPR 92021
leim1cb1q,SZ66,SZ-66,tech team spreadsheet,GS ACQ failed; TA failed; no signal from star. Repeat scheduled under HOPR 92021
leimacm3q,SZ66,SZ-66,tech team spreadsheet,"GS-ACQ fail alert for AC, offset star ACQ successful. Exposure shuttered."
leimacmaq,SZ66,SZ-66,tech team spreadsheet,"GS-ACQ fail alert for AC, offset star ACQ successful. Exposure shuttered."
leim2cm8q,SZ69,SZ-69,tech team spreadsheet,Failed GS acq: repeat scheduled under HOPR 92005. Data may still be useful otherwise after recalibration/in-depth DQ check -JIRA issue: ULLYSES-1345
leim2cmaq,SZ69,SZ-69,tech team spreadsheet,Failed GS acq: repeat scheduled under HOPR 92005. Data may still be useful otherwise after recalibration/in-depth DQ check -JIRA issue: ULLYSES-1345
leim2cmcq,SZ69,SZ-69,tech team spreadsheet,Failed GS acq: repeat scheduled under HOPR 92005. Data may still be useful otherwise after recalibration/in-depth DQ check -JIRA issue: ULLYSES-1345
