ULL_name, ULL_MAST_name,SIMBAD_name, alias0, alias1, alias2, alias3, alias4, alias5,alias6,alias7,alias8,alias9
AV 47, AV-47,AzV 47, AZV-47, AZV47,AV47,,,,,,,
AV 15, AV-15,AzV 15, AZV-15, AZV15, SK10, Sk10, SK-10,AV15,,,,
AV 490, AV-490,AzV 490, AZV490, Sk10, SK10, SMC-X-1, 4U0115-737, SK-10,AV490,,,
SK 183, SK-183,SK 183, Sk183, SK183, NGC602-HTCP-008,,,,,,,
NGC330 ELS 004, NGC330-ELS-004,CL* NGC 330 ELS 4, NGC330-ROB-B37, NGC330-B37, N330B37,NGC330 ELS 04,NGC330 4,NGC330-4,NGC330 ELS 4, NGC330-ELS-04,,
SK 191, SK-191,SK 191, SK191, SK.191, Sk191,,,,,,,
#ADDITIONAL (NOT IN ULLYSES SAMPLE),,#ADDITIONAL (NOT IN ULLYSES SAMPLE),,,,,,,,,,
AV 454, AV-454,AzV 454,  AZV-454, AZV454, SK142, SK-142, Sk142,AV454,,,,
AV 216, AV-216,AzV 216, AZV-216,AV216,,,,,,,,
AV 258, AV-258,AzV 258, AZV-258,AV258,,,,,,,,
NGC330 ROB A1, NGC330-ROB-A1,Cl* NGC330 ARP 13, NGC330-A01, NGC330-ARP-013, N330A01,NGC330 A1,,,,,,
NGC330 ROB B22, NGC330-ROB-B22,Cl* NGC330 ARP 45, NGC330-ARP-45, NGC330-B22, N330B22,NGC330 B22,,,,,,
AV 287, AV-287,AzV 287, AZV287, AZV-287,AV287, SK101, Sk101, SK-101,,,,
NGC346 ELS 022, NGC346-ELS-022,Cl* NGC 346 ELS 22, NGC346-MPG-682, NGC346-682,CL-NGC-346-MPG-682, N346-682,NGC346 22,NGC346 ELS 22, NGC346-ELS-22,,,
NGC346 MPG 602, NGC346-MPG-602,cl* NGC346 SSN 25, NGC346-SSN-025, NGC-346-SSN25,NGC346 602,,,,,,,
NGC346 MPG 487, NGC346-MPG-487,cl* NGC346 MPG 487, NGC346-NMC-017, NGC346-SSN-018, NGC346-487, NGC346-487-REVISED, N346-487,NGC346 487,,,,
NGC346 MPG 342, NGC346-MPG-342,cl* NGC346 MPG 342, NGC346-W-4, NGC346-SSN-011, NGC346-NMC-030, MPG-342, NGC346-11,NGC346 342,NGC346-4,,,
HD 5980,HD-5980,HD 5980, AV229, HD5980, HD--005980, SK78, NGC346-MPG-755,AV 229,,,,
AV 170, AV-170,AzV 170, AZV-170, AZV170,AV170,,,,,,,
AV 220, AV-220,AzV 220, AZV-220, AZV220,AV220,,,,,,,
MOA J010321.3-720538, MOA-J010321.3-720538,MOA J010321.3-720538, MOA-J010321-720538,H53-47,moa-j010321m720538,,,,,,,
AV 317, AV-317,AzV 317, AZV-317, AZV317, SK107, SK-107, Sk107,AV317,,,,
AV 26, AV-26,AzV 26,  AZV-26, AZV26, SK18, Sk18, SK-18, BBB-SMC-266,AV26,,,
AV 78, AV-78,AzV 78, AZV-78, SK40, Sk40, HD5045,AV78,,,,,
AV 39a, AV-39a,AzV 39a, AZV39a, AZV-39a, SMC-AB-2, SMC-AB2,AV39a ,,,,,
SK 188, SK-188,SK 188, Sk188, SMC-AB8, LIN-547,SK188,,,,,,
SK 190, SK-190,SK 190, Sk190, 2dFS3975,SK190,,,,,,,
AV 435, AV-435,AzV 435, AZV-435, AZV435,AV435,,,,,,,
AV 493, AV-493,AzV 493, AZV-493, AZV493,AV493,,,,,,,
AV 480, AV-480,AzV 480, AZV-480, LIN-508, 2dFS 3047,AV480,,,,,,
NGC346 MPG 396, NGC346-MPG-396,cl* NGC346 MPG 396, MPG-396, NGC346-SSN-17,NGC346 396,,,,,,,
OGLE J004942.75-731717.7, OGLE-J004942.75-731717.7,OGLE J004942.75-731717.7, M2002 SMC 14324, OGLE-J004942-731717,ogle-j004942m731717,,,,,,,
2dFS 5066, 2dFS-5066,2dFS 5066, OGLE SMC-SC6 246635, OGLE-SMC-SC6-246635, M2002 SMC 26122,,,,,,,
#TTAURI ADDITIONS,,#TTAURI ADDITIONS,,,,,,,,,,
VW Cha,V-VW-CHA,VW Cha,Sz 24,,,,,,,,,
RECX 1,RECX-1,RECX 1,EG Cha,,,,,,,,,
ECHA J0843.3-7915,echa-j0843m7915,ECHA J0843.3-7915,ET Cha,V-ET-CHA,RECX-15,ECHA-J0843-7915,ECHA-J0843.3-7915,,,,,
RECX 11,RECX-11,RECX 11,EP Cha,,,,,,,,,
Sz 68,SZ-68,Sz 68,HT Lup,CD-33-10685,SZ68, RX J1545.2-3417, 2MASS J15451286-3417305, GAIA-DR2-6014696841553696768,,,,
SSTc2dJ160830.7-382827,sstc2dj160830m382827,SSTc2dJ160830.7-382827,MJS2008-50,TYC-7851-810-1,SSTc2d J160830.7-382827,SSTc2d-J160830.7-382827,2MASS J16083070-3828268,GAIA-DR2-5997490206145065088,SSTC2DJ160830-382827,SSTC2DJ160830.7-382827,TYC 7851-810-1,GAIA DR3 5997490206145065088
RY Lup,V-RY-LUP,RY Lup,HBC 252,RY-LUP,,,,,,,,
MY Lup, V-MY-LUP,MY Lup, CD-41 10484, 2MASS J16004452-4155310, SSTc2d J160044.5-415531, GAIA-DR2-5995177933191206016,MJS2008-150,,,,,
Haro 5-64B,Haro-5-64B,GAIA DR2 3217634162083288320,,,,,,,,,,
CVSO-109B,CVSO-109B,CVSO-109B,GAIA-DR3-3217630382512239232,GAIA EDR3 3217630382512239232,,,,,,,,
CVSO-109A,CVSO-109A,CVSO-109A,,,,,,,,,,
CVSO-36A,CVSO-36A,CVSO-36A,,,,,,,,,,
CVSO-36B,CVSO-36B,CVSO-36B,GAIA-DR3-3222268122555927936,GAIA EDR3 3222268122555927936,GAIA DR2 3222268122555927936,,,,,,,
CVSO-165A,CVSO-165A,CVSO-165A,,,,,,,,,,
CVSO-165B,CVSO-165B,CVSO-165B,,,,,,,,,,
GAIA-DR3-3217473697810165504,GAIA-DR3-3217473697810165504,GAIA DR3 3217473697810165504,GAIA EDR3 3217473697810165504,,,,,,,,,
CVSO 109, CVSO-109,CVSO 109, CVSO109,,,,,,,,,
Sz 45, SZ-45,Sz 45, T56, HBC 590, 2MASS J11173700-7704381, RX J1117.6-7704, GAIA-DR2-5201272195086070144,SZ45,,,,
CV Cha, V-CV-CHA,CV Cha, Sz42, SZ42, 2MASS J11122772-7644223, RX J1112.5-7644, GAIA-DR2-5201295319189803392, T52,,,,
HD 104237, HD-104237,HD 104237, HD104237,DX CHA, 2MASS J12000511-7811346, RX J1200.1-7811, CD-77 528, V-DX-CHA,HD 104237A,HD-104237A,,
CVSO 107, CVSO-107,CVSO 107, CVSO107,,,,,,,,,
CVSO 58, CVSO-58,CVSO 58, CVSO58,,,,,,,,,
CVSO 90, CVSO-90,CVSO 90, CVSO90,,,,,,,,,
CVSO 35, CVSO-35,CVSO 35, CVSO35, OB1A1192, 2MASS J05254589+0145500,,,,,,,
KISO A-0903 134, KISO-A-0903-134,KISO A-0903 134, OB1A1630, 2MASS J05265537+0140224, GAIA-DR2-3222237885987655424,OB1A1630,OB1A 1630,KISO-A-0903 134,,,,
CVSO 206, CVSO-206,CVSO 206, CVSO206, OB1A776, KISO A-0903 109, GAIA-DR2-3222286505017306240, 2MASS J05244103+0154386,,,,,
TWA 27, TWA-27,TWA 27, 2MASS J12073346-3932539, 1207334-393254-KF, GAIA-DR2-3459372646830687104, TWOMASSWJ1207334-393254,,,,,,
2MASS J15570234-1950419,2mass-j15570234m1950419,2MASS J15570234-1950419, 2MASS-J15570234-1950419,,,,,,,,,
2MASS J15580815-2405529, 2MASS-J15580815-2405529,2MASS J15580815-2405529,,,,,,,,,,
2MASS J15584772-1757595, 2MASS-J15584772-1757595,2MASS J15584772-1757595,,,,,,,,,,
2MASS J16004277-2127380, 2MASS-J16004277-2127380,2MASS J16004277-2127380,,,,,,,,,,
2MASS J16010801-2113184, 2MASS-J16010801-2113184,2MASS J16010801-2113184,,,,,,,,,,
2MASS J16023910-2542078, 2MASS-J16023910-2542078,2MASS J16023910-2542078,,,,,,,,,,
2MASS J16025123-2401574, 2MASS-J16025123-2401574,2MASS J16025123-2401574,,,,,,,,,,
2MASS J16025243-2402226, 2MASS-J16025243-2402226,2MASS J16025243-2402226,,,,,,,,,,
2MASS J16025396-2022480, 2MASS-J16025396-2022480,2MASS J16025396-2022480,,,,,,,,,,
2MASS J16061254-2036472, 2MASS-J16061254-2036472,2MASS J16061254-2036472,,,,,,,,,,
2MASS J16081474-1908327, 2MASS-J16081474-1908327,2MASS J16081474-1908327,,,,,,,,,,
2MASS J16085673-2033460, 2MASS-J16085673-2033460,2MASS J16085673-2033460,,,,,,,,,,
2MASS J16130271-2257446, 2MASS-J16130271-2257446,2MASS J16130271-2257446,,,,,,,,,,
2MASS J16132929-2311075, 2MASS-J16132929-2311075,2MASS J16132929-2311075,,,,,,,,,,
2MASS J16193396-2228294, 2MASS-J16193396-2228294,2MASS J16193396-2228294,,,,,,,,,,
2MASS J16230783-2300596, 2MASS-J16230783-2300596,2MASS J16230783-2300596,,,,,,,,,,
AB AUR, V-AB-AUR,AB AUR, AB-AUR, HD 31293, BD+30 741, EM MWC 93, 2MASS J04554582+3033043, GAIA-DR2-156917493449670656,,,,
BD-18 4244, BD-18-4244,BD-18 4244, HBC 634, 2MASS J16124051-1859282, RX J1612.6-1859, V1002 Sco, Wa Oph 3, ScoPMS 52,,,,
BD-21 4301, BD-21-4301,BD-21 4301, 2MASS J16131858-2212489, GAIA-DR2-6242687277719794176,,,,,,,,
CD-22 11315, CD-22-11315,CD-22 11315, RX J1603.6-2245, 2MASS J16033550-2245560, GAIA-DR2-6243154501445899264,,,,,,,
CD-25 11113, CD-25-11113,CD-25 11113, SSTc2d J154921.0-260007, RX J1549.3-2600, 2MASS J15492100-2600062, GAIA-DR2-6234854283863638400,,,,,,
TW HYA, V-TW-HYA,TW HYA, TWA 1, CD-34 7151, CD-34-7151, CD-34D7151, 2MASS J11015191-3442170, TW-HYA,,,,
CO ORI, V-CO-ORI,CO ORI, CO-ORI, BD+11 809, HBC 84, 2MASS J05273833+1125389, GAIA-DR2-3339339958858842624,,,,,
CY TAU, V-CY-TAU,CY TAU, CY-TAU, V CY TAU,  2MASS J04173372+2820468, GAIA-DR2-164698634160139264,,,,,,
DG TAU, V-DG-TAU,DG TAU, DG-TAU, V DG TAU,  2MASS J04270469+2606163, GAIA-DR2-151262700852297728,,,,,,
DM TAU, V-DM-TAU,DM TAU, DM-TAU, V DM TAU, 2MASS J04334871+1810099, GAIA-DR2-3314282402395528192,HBC 62,,,,,
DQ TAU, V-DQ-TAU,DQ TAU, DQ-TAU, V DQ TAU, 2MASS J04465305+1700001, GAIA-DR2-3406269842981827712,,,,,,
DR TAU, V-DR-TAU,DR TAU, DR-TAU, V DR TAU, 2MASS J04470620+1658428, GAIA-DR2-3406081865148861440,HBC 74,,,,,
DS TAU, V-DS-TAU,DS TAU, DS-TAU, V DS TAU, 2MASS J04474859+2925112, GAIA-DR2-158249306976130176,,,,,,
EM LKCA 15, EM-LKCA-15,EM* LkCa 15, EM LkCa 15, 2MASS J04391779+2221034, V1079 TAU, GAIA-DR2-144936836795636864,LKCA 15,,,,,
EM LKCA 19, EM-LKCA-19,EM* LkCa 19, EM LkCa 19, HD 282630, 2MASS J04553695+3017553, V396 AUR, SSTc2d J045537.0+301755, GAIA-DR2-156900622818205312,LKCA 19,,,
EM LKCA 4, EM-LKCA-4,EM* LkCa 4, EM LkCa 4, V1068 TAU, 2MASS J04162810+2807358, GAIA-DR2-164666022471759232, V1068TAU,LKCA 4,,,,
EZ ORI, V-EZ-ORI,EZ ORI, EZ-ORI, V EZ ORI, 2MASS J05341856-0504479, RX J053418.5-050450, GAIA-DR2-3209539488761714432,,,,,
FU ORI, V-FU-ORI,FU ORI, FU-ORI, V FU ORI, BD+09 5427, EM CDS 56621, 2MASS J05452235+0904123, GAIA-DR2-3336092864798790144,,,,
GM AUR, V-GM-AUR,GM AUR, GM-AUR, V GM AUR, 2MASS J04551098+3021595, GAIA-DR2-156907907082740480,,,,,,
GSC 06208-00834, GSC-06208-00834,GSC 06208-00834, 2MASS J16063169-2036232, GAIA-DR2-6244023420566008192,,,,,,,,
GW ORI, V-GW-ORI,GW ORI, GW-ORI, V GW ORI, HD 244138, BD+11 819, 2MASS J05290838+1152126, GAIA-DR2-3340856533286969600,,,,
GX ORI, V-GX-ORI,GX ORI, GX-ORI, V GX ORI, 2MASS J05300203+1213357, GAIA-DR2-3340894500797788288,,,,,,
V397 AUR, V-V397-AUR,V397 AUR, V397AUR, HBC-427, HBC 427, 2MASS J04560201+3021037, SSTc2d J045602.0+302104, GAIA-DR2-156902512603777408,,,,
HD 142527, HD-142527,HD 142527, CD-41 10447, 2MASS J15564188-4219232, GAIA-DR2-5994826707951507200,HD142527,,,,,,
HD 163296, HD-163296,HD 163296, BD-21 4779, EM MWC 275, 2MASS J17562128-2157218, GAIA-DR2-4070355800839765248,,,,,,
HD 169142, HD-169142,HD 169142, CD-29 14904, EM MWC 925, 2MASS J18242978-2946492, GAIA-DR2-4048015133392824064, HD169142,,,,,
HD 139614, HD-139614,HD 139614, HD139614,  CD-42 10650, 2MASS J15404638-4229536, GAIA-DR2-6001669793442284416,,,,,,
HD 141569, HD-141569,HD 141569, HD141569, BD-03 3833, EM CDS 887, 2MASS J15495775-0355162, GAIA-DR2-4399438153527026176,,,,,
RU LUP, V-RU-LUP,RU LUP, V-RU-LUPI, SZ83, HD 142560, HD-142560, HD142560, CD-37 10602,,,,
HD 142666, HD-142666,HD 142666, HD142666, BD-21 4228, 2MASS J15564002-2201400, V1026 Sco, GAIA-DR2-6243489715051060480,,,,,
SU AUR, V-SU-AUR,SU AUR, SU-AUR, HD 282624, HD-282642, HD282624, BD+30 743, 2MASS J04555938+3034015,,,,
DF TAU, V-DF-TAU,DF TAU, V DF TAU, HD 283654, HD-283654, HD283654, 2MASS J04270280+2542223, GAIA-DR2-151179966897747840,,,,
T TAU, V-T-TAU,T TAU, HD 284419, T-TAU, HD284419, BD+19 706, 2MASS J04215943+1932063, GAIA-DR2-48192969034959232,,,,
HK ORI, V-HK-ORI,HK ORI, HKORI, EM MWC 497, HBC 94, 2MASS J05312805+1209102, GAIA-DR2-3340972119446813440,,,,,
KK OPH, V-KK-OPH,KK OPH, KKOPH, EM AS 220, CD-27 11501, HBC273,  2MASS J17100811-2715190, GAIA-DR1-4108644089918660736,,,,
